transaction_id;account_id;transaction_date;amount;transaction_type;channel
1;100001;2025-09-22;3541;debit;atm
2;100001;2025-03-18;3689;credit;online
3;100001;2025-09-06;4935;debit;atm
4;100001;2025-05-17;3133;debit;atm
5;100001;2025-05-07;731;debit;payroll
6;100001;2025-08-02;4427;credit;atm
7;100001;2025-12-03;4401;debit;card
8;100001;2025-09-12;676;debit;atm
9;100001;2025-02-19;4312;debit;card
10;100001;2025-05-31;3493;credit;branch
11;100001;2025-07-28;3871;credit;transfer
12;100001;2025-12-09;4236;debit;online
13;100001;2025-04-13;3272;debit;online
14;100001;2025-05-04;1401;debit;online
15;100001;2025-05-29;692;credit;transfer
16;100001;2025-08-30;2036;debit;atm
17;100001;2025-10-27;862;debit;payroll
18;100001;2025-09-18;1389;debit;transfer
19;100001;2025-01-20;2890;debit;card
20;100001;2025-06-23;203;credit;transfer
21;100001;2025-11-20;480;debit;branch
22;100001;2025-11-19;2562;debit;atm
23;100001;2025-12-30;3341;debit;branch
24;100001;2025-07-08;858;credit;payroll
25;100001;2025-06-15;2715;credit;atm
26;100001;2025-08-09;4908;debit;atm
27;100001;2025-12-20;889;credit;online
28;100001;2025-03-02;950;credit;atm
29;100001;2025-01-28;3538;credit;payroll
30;100001;2025-06-03;4323;debit;payroll
31;100001;2025-11-22;1747;debit;atm
32;100001;2025-08-09;2514;credit;online
33;100001;2025-04-25;910;debit;atm
34;100001;2025-10-18;1851;debit;payroll
35;100001;2025-05-23;3198;credit;atm
36;100001;2025-02-24;3021;credit;branch
37;100001;2025-04-08;3698;debit;transfer
38;100001;2025-11-06;4503;credit;branch
39;100002;2025-02-08;1809;debit;branch
40;100002;2025-03-06;240;debit;transfer
41;100002;2025-01-24;2893;debit;card
42;100002;2025-06-05;2157;debit;transfer
43;100002;2025-01-16;3300;credit;online
44;100002;2025-06-28;4997;credit;payroll
45;100002;2025-06-08;3316;credit;online
46;100002;2025-08-18;1911;debit;transfer
47;100002;2025-01-12;279;credit;branch
48;100002;2025-11-20;4971;debit;atm
49;100002;2025-04-30;1730;credit;payroll
50;100002;2025-08-05;1694;debit;payroll
51;100002;2025-08-03;4577;debit;branch
52;100002;2025-12-28;1897;credit;card
53;100002;2025-02-21;4779;debit;branch
54;100002;2025-11-16;1280;credit;card
55;100002;2025-05-23;1156;debit;branch
56;100002;2025-12-06;4174;debit;atm
57;100002;2025-04-30;1146;debit;transfer
58;100002;2025-05-23;2182;debit;card
59;100002;2025-03-18;3420;credit;atm
60;100002;2025-11-09;3558;credit;online
61;100002;2025-08-21;3541;debit;branch
62;100002;2025-06-04;1103;credit;atm
63;100002;2025-08-15;1540;debit;branch
64;100002;2025-11-21;2953;debit;payroll
65;100002;2025-04-27;3080;credit;atm
66;100002;2025-06-14;2322;debit;transfer
67;100002;2025-08-02;966;credit;card
68;100002;2025-04-20;1176;debit;payroll
69;100002;2025-11-09;3960;debit;atm
70;100002;2025-01-21;2755;credit;card
71;100002;2025-05-21;3230;debit;branch
72;100002;2025-10-27;1910;debit;branch
73;100002;2025-09-11;3628;credit;branch
74;100002;2025-11-15;4615;credit;branch
75;100003;2025-04-18;4023;credit;transfer
76;100003;2025-09-07;139;debit;branch
77;100003;2025-01-10;1803;credit;atm
78;100003;2025-07-04;706;credit;payroll
79;100003;2025-10-13;4120;debit;branch
80;100003;2025-11-01;1326;debit;transfer
81;100003;2025-09-15;1906;credit;atm
82;100003;2025-05-12;4017;debit;online
83;100003;2025-12-15;1825;debit;branch
84;100003;2025-02-17;2621;credit;branch
85;100003;2025-05-06;3532;credit;atm
86;100003;2025-08-28;4033;credit;atm
87;100003;2025-09-05;4430;debit;branch
88;100003;2025-09-07;3938;credit;transfer
89;100003;2025-12-25;1070;debit;atm
90;100003;2025-09-03;3988;debit;atm
91;100003;2025-06-03;1750;debit;atm
92;100003;2025-12-16;4237;credit;online
93;100003;2025-04-06;3040;credit;transfer
94;100003;2025-03-01;4365;credit;online
95;100004;2025-01-23;4462;credit;card
96;100004;2025-02-11;124;credit;atm
97;100004;2025-02-24;4154;debit;online
98;100004;2025-08-19;1633;debit;payroll
99;100004;2025-02-16;1002;credit;online
100;100004;2025-04-12;583;debit;branch
101;100004;2025-02-10;4465;credit;transfer
102;100004;2025-10-01;4088;credit;transfer
103;100004;2025-09-04;2476;credit;atm
104;100004;2025-03-17;4783;debit;branch
105;100004;2025-06-25;336;credit;online
106;100004;2025-06-11;3060;debit;payroll
107;100004;2025-11-06;627;credit;atm
108;100004;2025-03-20;3296;credit;online
109;100004;2025-10-23;3713;debit;online
